T025,Hado,Bodegas Ramon Bilbao,Rioja,Tinto,,22,,si,no,Tempranillo joven de Ramon Bilbao. Fresco y afrutado ideal para el dia a dia.
T026,Ramon Bilbao Ed. Limitada Tempranillo,Bodegas Ramon Bilbao,Rioja,Tinto,,24,,si,no,Edicion limitada. Tempranillo seleccionado con crianza cuidada y caracter propio.
T027,Ramon Bilbao Ed. Limitada Garnacha,Bodegas Ramon Bilbao,Rioja,Tinto,,,si,no,Garnacha en estado puro. Fruta roja vibrante con fondo especiado y final sedoso.
T028,Ramon Bilbao,Bodegas Ramon Bilbao,Rioja,Tinto Crianza,,,si,no,El Ramon Bilbao de toda la vida. Rioja clasico que nunca falla.
T029,Agnus,Bodegas Valdelana,Rioja,Tinto,,,si,no,Rioja con mezcla de Tempranillo y Graciano. Vino con personalidad diferente.
T030,Proelio,Bodegas Proelio,Rioja,Tinto,,,si,no,Rioja accesible y frutal. Buena opcion para descubrir la denominacion.
T031,Pujanza,Bodegas Pujanza,Rioja,Tinto,,,si,si,Garnacha de parcela de Rioja Alavesa. Vino serio con gran capacidad de guarda.
T032,Urbion Cuvee,Bodegas Urbion,Rioja,Tinto,,,si,no,Cuvee especial. Mezcla de variedades con crianza equilibrada y final limpio.
T033,Martin Zurbano,Martin Zurbano,Rioja,Tinto,,,si,no,Rioja con enfoque tradicional. Vino honesto para disfrutar sin complicaciones.
T034,Lorca Fantasia Malbec,Bodega Lorca,Argentina,Tinto Malbec,,28,,si,no,Malbec argentino con intensidad y fruta madura. Potente pero con finura sudamericana.
T035,Las Mulas,Miguel Torres Chile,Chile,Tinto,,,si,no,Tinto chileno de Miguel Torres. Fruta madura y facil de beber con buena relacion calidad-precio.
T036,La Vieille Ferme,Famille Perrin,Francia,Tinto,,,si,no,Clasico del sur de Francia. Garnacha y Syrah con ese toque provenzal inconfundible.
